080731103931.02;高频电子实验;实践;班级:2015年秋季电子信息工程本科1班;王芳;39;39;1;16/1;1-16; 
080731103971.01;高频电子技术;专必;班级:2014年秋季电子信息工程(中美合作)本科1班;朱品昌;35;35;3;48/3;1-16; 
080731103971.01;高频电子技术;专必;班级:2015年秋季电子信息工程(中美合作)本科1班;王芳<br>罗阳<br>Sohail Anwar;44;70;3;48/5;1-10;Sohail Anwar,王芳 星期一 1-2 9  奉贤2教楼311  <br>Sohail Anwar,王芳 星期一 6-7 9  奉贤2教楼311  <br>Sohail Anwar,王芳 星期二 1-2 9  奉贤2教楼311  <br>Sohail Anwar,王芳 星期二 6-7 9  奉贤2教楼311  <br>罗阳 星期三 1-2 [2-8]双  奉贤2教楼311  <br>Sohail Anwar,王芳 星期三 6-9 9  奉贤2教楼311  <br>Sohail Anwar,王芳 星期三 3-4 [9-10]  奉贤2教楼311  <br>罗阳 星期四 11-12 [7-8]  奉贤2教楼311  <br>Sohail Anwar,王芳 星期四 6-9 [9-10]  奉贤2教楼311  <br>Sohail Anwar,王芳 星期五 1-4 [9-10]  奉贤2教楼311  <br>Sohail Anwar,王芳 星期六 3-4 9  奉贤2教楼311  <br>Sohail Anwar,王芳 星期六 6-7 9  奉贤2教楼311   
080731104131.01;算法与结构;限选;班级:2014年秋季通信工程本科1班 2014年秋季通信工程本科2班;王平楠;74;173;3;48/4;1-12;王平楠 星期二 11-12 [1-12]  奉贤2教楼115  <br>王平楠 星期四 3-4 [1-12]  奉贤3教楼202   
080731104351.01;感测技术;限选;班级:2014年秋季电子信息工程本科1班;周毅;46;50;3;48/3;1-16;周毅 星期一 1-2 [1-16]  奉贤3教楼117  <br>周毅 星期四 1-2 [1-15]单  奉贤3教楼208   
080731104351.01;感测技术;限选;班级:2015年秋季电子信息工程(中美合作)本科1班;周毅;42;47;3;48/6;1-8;周毅 星期一 3-4 [1-8]  奉贤3教楼309  <br>周毅 星期三 3-4 [1-8]  奉贤3教楼217  <br>周毅 星期五 1-2 [1-8]  奉贤3教楼217   
080731104351.02;感测技术;限选;班级:2014年秋季电子信息工程(中美合作)本科1班;周毅;28;46;3;48/6;1-8;周毅 星期一 3-4 [1-8]  奉贤2教楼315  <br>周毅 星期四 3-4 [1-8]  奉贤2教楼203  <br>周毅 星期五 3-4 [1-8]  奉贤2教楼212   
080731104351.02;感测技术;限选;班级:2015年秋季电子信息工程本科1班;周毅;35;39;3;48/3;1-16;周毅 星期三 1-2 [1-16]  奉贤5教楼A407  <br>周毅 星期五 1-2 [9-16]  奉贤5教楼A222   
080731104371.01;概率论与数理统计;专必;班级:2015年秋季电子信息工程本科1班;杨敏;46;38;3;48/3;1-16; 
080731104371.01;概率论与数理统计;专业基础课程;班级:2016电子信息工程本科1班;刘建华;43;70;3;48/3.5;1-6<br>8-16;刘建华 星期一 13-14 4  奉贤2教楼204  <br>刘建华 星期一 3-4 [1-6],[8-16]  奉贤2教楼306  <br>刘建华 星期三 1-2 [2-16]双  奉贤3教楼422   
080731104371.01;概率论与数理统计;专业基础课程;班级:2016年秋季电子信息工程（中美合作）本科1班;杨敏<br>Shamsa Sohail Anwar;48;49;3;48/16;6-8;Shamsa Sohail Anwar,杨敏 星期二 8-9 [12-13]  奉贤2教楼307  <br>Shamsa Sohail Anwar,杨敏 星期三 8-9 [12-13]  奉贤2教楼307  <br>杨敏 星期四 1-2 [6-8]  奉贤2教楼307  <br>Shamsa Sohail Anwar,杨敏 星期四 3-4 [12-13]  奉贤2教楼307  <br>Shamsa Sohail Anwar,杨敏 星期四 8-9 [10-13]  奉贤2教楼307  <br>杨敏 星期五 1-2 [6-8]  奉贤2教楼307  <br>Shamsa Sohail Anwar,杨敏 星期五 3-4 [10-13]  奉贤2教楼307  <br>Shamsa Sohail Anwar,杨敏 星期六 3-4 [12-13]  奉贤2教楼307  <br>Shamsa Sohail Anwar,杨敏 星期六 6-7 [12-13]  奉贤2教楼307   
